num diffs,metric,mutation rate,coverage,k-length,score,,,,,
30207,BC,3.00E-05,40,10,0.118683557,,,,,
6260,BC,3.00E-05,40,20,0.141751385,,,,,
35630,BC,3.00E-05,40,30,0.331543492,,,,,
23929,BC,3.00E-05,40,40,0.397921147,,,,,
2011,BC,1.00E-05,10,10,0.090419438,,,,,
11682,BC,1.00E-05,10,20,0.252137403,,,,,
8871,BC,1.00E-05,10,30,0.295019229,,,,,
7322,BC,1.00E-05,10,40,0.35557093,,,,,
2206,BC,1.00E-05,20,10,0.063009178,,,,,
4801,BC,1.00E-05,20,20,0.117916077,,,,,
10126,BC,1.00E-05,20,30,0.300827198,,,,,
5622,BC,1.00E-05,20,40,0.142201433,,,,,
2057,BC,1.00E-05,30,10,0.045963674,,,,,
14334,BC,1.00E-05,30,20,0.146486942,,,,,
6764,BC,1.00E-05,30,30,0.173362348,,,,,
7873,BC,1.00E-05,30,40,0.137500388,,,,,
3848,BC,1.00E-05,40,10,0.048798927,,,,,
9062,BC,1.00E-05,40,20,0.172265263,,,,,
9493,BC,1.00E-05,40,30,0.147531761,,,,,
7585,BC,1.00E-05,40,40,0.180810418,,,,,
23281,BC,3.00E-05,10,10,0.134162173,,,,,
95118,BC,3.00E-05,10,20,0.666631155,,,,,
698,BC,3.00E-05,10,30,0.214063328,,,,,
45923,BC,3.00E-05,10,40,0.65424739,,,,,
24347,BC,3.00E-05,20,10,0.117449058,,,,,
7106,BC,3.00E-05,20,20,0.159935308,,,,,
24135,BC,3.00E-05,20,30,0.12226556,,,,,
17532,BC,3.00E-05,20,40,0.232669051,,,,,
15301,BC,3.00E-05,30,10,0.098891666,,,,,
22771,BC,3.00E-05,30,20,0.251212742,,,,,
23831,BC,3.00E-05,30,30,0.343060215,,,,,
4995,BC,3.00E-05,30,40,0.1399599,,,,,
38719,BC,3.00E-05,40,10,0.122972648,,,,,
11577,BC,3.00E-05,40,20,0.140948797,,,,,
23112,BC,3.00E-05,40,30,0.373742202,,,,,
26183,BC,3.00E-05,40,40,0.500962876,,,,,
10157,BC,1.00E-05,10,10,0.106228398,,,,,
472,BC,1.00E-05,10,20,0.200793364,,,,,
5451,BC,1.00E-05,10,30,0.253752119,,,,,
5309,BC,1.00E-05,10,40,0.291393146,,,,,
8314,BC,1.00E-05,20,10,0.072953366,,,,,
12024,BC,1.00E-05,20,20,0.126332094,,,,,
5828,BC,1.00E-05,20,30,0.167632576,,,,,
19110,BC,1.00E-05,20,40,0.143020882,,,,,
6463,BC,1.00E-05,30,10,0.060636847,,,,,
1499,BC,1.00E-05,30,20,0.087037641,,,,,
5779,BC,1.00E-05,30,30,0.147745149,,,,,
9929,BC,1.00E-05,30,40,0.317877913,,,,,
6827,BC,1.00E-05,40,10,0.04391144,,,,,
7033,BC,1.00E-05,40,20,0.107317895,,,,,
9603,BC,1.00E-05,40,30,0.202575036,,,,,
8079,BC,1.00E-05,40,40,0.177225992,,,,,
41408,BC,3.00E-05,10,10,0.117734982,,,,,
19332,BC,3.00E-05,10,20,0.349950882,,,,,
54236,BC,3.00E-05,10,30,0.577018897,,,,,
32609,BC,3.00E-05,10,40,0.435858629,,,,,
41913,BC,3.00E-05,20,10,0.139745818,,,,,
24732,BC,3.00E-05,20,20,0.301649158,,,,,
17259,BC,3.00E-05,20,30,0.274672375,,,,,
17203,BC,3.00E-05,20,40,0.558323304,,,,,
22458,BC,3.00E-05,30,10,0.084654465,,,,,
13743,BC,3.00E-05,30,20,0.223863453,,,,,
36506,BC,3.00E-05,30,30,0.403266595,,,,,
9588,BC,3.00E-05,30,40,0.137719547,,,,,
27922,BC,3.00E-05,40,10,0.09809233,,,,,
28794,BC,3.00E-05,40,20,0.312179618,,,,,
19797,BC,3.00E-05,40,30,0.307927622,,,,,
22980,BC,3.00E-05,40,40,0.344690985,,,,,
5579,BC,1.00E-05,10,10,0.098960124,,,,,
10357,BC,1.00E-05,10,20,0.305686749,,,,,
