num diffs,metric,mutation rate,coverage,k-length,score
BF,1e-05,40,20,0.9771283925541605
2836,BC,1e-05,40,30,0.10615391239812122
BF,1e-05,40,30,0.9807334919332208
3093,BC,1e-05,40,40,0.1515998570932512
BF,1e-05,40,40,0.9490421774453194
8541,BC,3e-05,10,10,0.10116829754545809
BF,3e-05,10,10,0.9852006763775347
56749,BC,3e-05,10,20,0.5196154737683392
BF,3e-05,10,20,0.7245062533773642
39063,BC,3e-05,10,30,0.604225315236369
BF,3e-05,10,30,0.6799684624894144
13197,BC,3e-05,10,40,0.4115927015402516
BF,3e-05,10,40,0.8041032786527471
39092,BC,3e-05,20,10,0.07817430492752275
BF,3e-05,20,10,0.995612475594025
31200,BC,3e-05,20,20,0.11002846762713558
BF,3e-05,20,20,0.9780230971218785
33747,BC,3e-05,20,30,0.32437339312638547
BF,3e-05,20,30,0.8869756229531819
21476,BC,3e-05,20,40,0.17099721833932047
BF,3e-05,20,40,0.9463261101641858
832,BC,3e-05,30,10,0.05943590359791051
BF,3e-05,30,10,0.99642031943476
6519,BC,3e-05,30,20,0.14415680748198356
BF,3e-05,30,20,0.9603932430020774
4508,BC,3e-05,30,30,0.14356081678026578
BF,3e-05,30,30,0.9544323635552153
33304,BC,3e-05,30,40,0.4027345957408901
BF,3e-05,30,40,0.8011133465959743
17582,BC,3e-05,40,10,0.07238245935432241
BF,3e-05,40,10,0.982288562698206
9634,BC,3e-05,40,20,0.11369073508869465
BF,3e-05,40,20,0.9780873631914765
39736,BC,3e-05,40,30,0.37079032593208006
BF,3e-05,40,30,0.863787734174383
16525,BC,3e-05,40,40,0.15812263967194862
BF,3e-05,40,40,0.9483809690399154
9014,BC,1e-05,10,10,0.10097725737110519
BF,1e-05,10,10,0.9849740742016961
4597,BC,1e-05,10,20,0.20652652585483733
BF,1e-05,10,20,0.9259864315514895
9389,BC,1e-05,10,30,0.2278956093041833
BF,1e-05,10,30,0.9149347647012599
6327,BC,1e-05,10,40,0.29508642595376944
BF,1e-05,10,40,0.8756405416376593
6871,BC,1e-05,20,10,0.09000431730417258
BF,1e-05,20,10,0.9919323341728447
2644,BC,1e-05,20,20,0.12091852446850859
BF,1e-05,20,20,0.9742526891561148
8958,BC,1e-05,20,30,0.23362592079259892
BF,1e-05,20,30,0.9065331661602585
5443,BC,1e-05,20,40,0.1537288666901231
BF,1e-05,20,40,0.9605283976305803
2549,BC,1e-05,30,10,0.053790497016917516
BF,1e-05,30,10,0.994049603289901
11330,BC,1e-05,30,20,0.11408472292981009
BF,1e-05,30,20,0.9758291708230012
18262,BC,1e-05,30,30,0.3045857392727458
BF,1e-05,30,30,0.8548905634759523
7705,BC,1e-05,30,40,0.19864302904283737
BF,1e-05,30,40,0.9261718365954704
8237,BC,1e-05,40,10,0.05854995413658037
BF,1e-05,40,10,0.9839818858442412
5340,BC,1e-05,40,20,0.12295956951244613
BF,1e-05,40,20,0.9685109556315492
5970,BC,1e-05,40,30,0.14158140135087927
BF,1e-05,40,30,0.966914951504849
6589,BC,1e-05,40,40,0.14124368643060936
BF,1e-05,40,40,0.9696712008533798
9173,BC,3e-05,10,10,0.12188635445754759
BF,3e-05,10,10,0.9770828509830412
12512,BC,3e-05,10,20,0.2779396354625937
BF,3e-05,10,20,0.8847288725922465
22860,BC,3e-05,10,30,0.40318815124723717
BF,3e-05,10,30,0.817964977735253
38181,BC,3e-05,10,40,0.609857481004493
BF,3e-05,10,40,0.6732254982341604
17633,BC,3e-05,20,10,0.11164794712402637
BF,3e-05,20,10,0.989301349415391
34991,BC,3e-05,20,20,0.2774999811375224
BF,3e-05,20,20,0.9018695924084849
45042,BC,3e-05,20,30,0.40527326032278466
BF,3e-05,20,30,0.8484564952751537
11659,BC,3e-05,20,40,0.3309282187916701
BF,3e-05,20,40,0.8613167274331283
17070,BC,3e-05,30,10,0.10542834332271545
BF,3e-05,30,10,0.9854301469628388
15676,BC,3e-05,30,20,0.2506315945561134
BF,3e-05,30,20,0.8994777974563983
27633,BC,3e-05,30,30,0.43835896363645366
BF,3e-05,30,30,0.7730762525324714
9766,BC,3e-05,30,40,0.266993612748325
BF,3e-05,30,40,0.896120899071622
21792,BC,3e-05,40,10,0.09529735058365174
BF,3e-05,40,10,0.9668384966117891
34058,BC,3e-05,40,20,0.11704033824187388
BF,3e-05,40,20,0.977337330179437
8958,BC,3e-05,40,30,0.3017698042283167
BF,3e-05,40,30,0.8621371220206916
23889,BC,3e-05,40,40,0.3610889894897157
BF,3e-05,40,40,0.8455354623879746
5005,BC,1e-05,10,10,0.09275201961231105
BF,1e-05,10,10,0.987620237728894
11467,BC,1e-05,10,20,0.26041405571333653
BF,1e-05,10,20,0.8914708477488154
9015,BC,1e-05,10,30,0.23238016490010405
BF,1e-05,10,30,0.9153077575251453
2107,BC,1e-05,10,40,0.28930093278600266
BF,1e-05,10,40,0.8761342289205952
7106,BC,1e-05,20,10,0.08229639264348931
BF,1e-05,20,10,0.992504573657821
8682,BC,1e-05,20,20,0.1925534820330831
BF,1e-05,20,20,0.9281391355000554
7062,BC,1e-05,20,30,0.17597215220195994
BF,1e-05,20,30,0.9515459070988752
7653,BC,1e-05,20,40,0.18473247877418453
BF,1e-05,20,40,0.9509937657438241
4281,BC,1e-05,30,10,0.0546608316686632
BF,1e-05,30,10,0.9940587004879422
2349,BC,1e-05,30,20,0.08375965187234813
BF,1e-05,30,20,0.9888953631163212
7356,BC,1e-05,30,30,0.25271371688078426
BF,1e-05,30,30,0.8911100017993872
7470,BC,1e-05,30,40,0.2885936262350389
BF,1e-05,30,40,0.8763460280924407
7627,BC,1e-05,40,10,0.05009990476291104
BF,1e-05,40,10,0.9886702895436111
8560,BC,1e-05,40,20,0.13318076669328127
BF,1e-05,40,20,0.9640744034640476
2994,BC,1e-05,40,30,0.11172266249353391
BF,1e-05,40,30,0.9801420585705617
6944,BC,1e-05,40,40,0.2028034504230346
BF,1e-05,40,40,0.9320644935725101
4065,BC,3e-05,10,10,0.08819060884925833
BF,3e-05,10,10,0.988498442130992
32322,BC,3e-05,10,20,0.3782116583176186
BF,3e-05,10,20,0.8279922021628714
28880,BC,3e-05,10,30,0.4114997527267489
BF,3e-05,10,30,0.8055532736653963
35164,BC,3e-05,10,40,0.39615882254519763
BF,3e-05,10,40,0.8063151676681113
20021,BC,3e-05,20,10,0.07870992537470656
BF,3e-05,20,10,0.9929392762001202
10918,BC,3e-05,20,20,0.2264751377675498
BF,3e-05,20,20,0.9092266164055663
23079,BC,3e-05,20,30,0.14148723007700204
BF,3e-05,20,30,0.9715572696294463
16285,BC,3e-05,20,40,0.23690204211497168
BF,3e-05,20,40,0.9217840667072196
12632,BC,3e-05,30,10,0.085160692380571
BF,3e-05,30,10,0.9883793712122211
13349,BC,3e-05,30,20,0.14746976868299522
BF,3e-05,30,20,0.9650290516592795
18228,BC,3e-05,30,30,0.19714073189109094
BF,3e-05,30,30,0.9442585013456023
12712,BC,3e-05,30,40,0.41705860796304994
BF,3e-05,30,40,0.821186463482921
27822,BC,3e-05,40,10,0.13662347180468615
BF,3e-05,40,10,0.9478293403703291
5122,BC,3e-05,40,20,0.1388942132825972
BF,3e-05,40,20,0.969394198909716
17428,BC,3e-05,40,30,0.14610303655363133
BF,3e-05,40,30,0.9530667971000968
6831,BC,3e-05,40,40,0.17091899959441825
BF,3e-05,40,40,0.9591181375967492
4368,BC,1e-05,10,10,0.0936094919496574
BF,1e-05,10,10,0.9873956153248508
9429,BC,1e-05,10,20,0.23402675622635172
BF,1e-05,10,20,0.9111445337744425
11147,BC,1e-05,10,30,0.235068209408817
BF,1e-05,10,30,0.9108787956634063
7739,BC,1e-05,10,40,0.37521803911918394
BF,1e-05,10,40,0.8242927432531457
7933,BC,1e-05,20,10,0.06991300623766605
BF,1e-05,20,10,0.9944856564795596
2232,BC,1e-05,20,20,0.15311758247509877
BF,1e-05,20,20,0.9526080312059564
5468,BC,1e-05,20,30,0.12893615652645918
