num diffs,metric,mutation rate,coverage,k-length,score
539,BC,1e-06,40,40,0.08395262571996398
17889,BC,1e-05,10,10,0.1345688423071516
11382,BC,1e-05,10,20,0.22887475398748824
6478,BC,1e-05,10,30,0.31430591006313957
12984,BC,1e-05,10,40,0.41440434451833896
2742,BC,1e-05,20,10,0.06866850915442946
6881,BC,1e-05,20,20,0.14297148856218345
9420,BC,1e-05,20,30,0.1497318220981283
6242,BC,1e-05,20,40,0.2840916595949363
13166,BC,1e-05,30,10,0.08518768550730293
745,BC,1e-05,30,20,0.11344888363958994
11851,BC,1e-05,30,30,0.229284572626836
10977,BC,1e-05,30,40,0.27152467931115265
8224,BC,1e-05,40,10,0.043796085326285095
11976,BC,1e-05,40,20,0.16857742835627243
9020,BC,1e-05,40,30,0.1870779485285602
1009,BC,1e-05,40,40,0.1052318763572303
2185,BC,1e-06,10,10,0.0867013061454115
876,BC,1e-06,10,20,0.18091119364372155
656,BC,1e-06,10,30,0.21147611373716058
492,BC,1e-06,10,40,0.25407868538179157
627,BC,1e-06,20,10,0.05957927147394049
749,BC,1e-06,20,20,0.10525698555924745
116,BC,1e-06,20,30,0.10738347402425308
19731,BC,1e-05,10,20,0.2383709258051525
7147,BC,1e-05,10,30,0.2758143801397428
6699,BC,1e-05,10,40,0.32838870429602207
9768,BC,1e-05,20,10,0.0896413002763119
17567,BC,1e-05,20,20,0.2361622106544451
1388,BC,1e-05,20,30,0.20567255897787529
8786,BC,1e-05,20,40,0.2552361229800545
10159,BC,1e-05,30,10,0.06924003869053019
9273,BC,1e-05,30,20,0.18619131323413574
11042,BC,1e-05,30,30,0.13345715583899864
2763,BC,1e-05,30,40,0.14242996621226978
3260,BC,1e-05,40,10,0.04919436160412172
7688,BC,1e-05,40,20,0.1255224444515476
9616,BC,1e-05,40,30,0.2175016963098948
2429,BC,1e-05,40,40,0.15441078012959564
620,BC,1e-06,10,10,0.0889154777366914
173,BC,1e-06,10,20,0.17655613854121954
467,BC,1e-06,10,30,0.21671189890829978
1059,BC,1e-06,10,40,0.2690206627308872
845,BC,1e-06,20,10,0.06134435489655554
596,BC,1e-06,20,20,0.10384468580692408
1778,BC,1e-06,20,30,0.12911285847191745
455,BC,1e-06,20,40,0.1253048956471251
1604,BC,1e-06,30,10,0.04946307722706933
590,BC,1e-06,30,20,0.08569149691482858
1245,BC,1e-06,30,30,0.10143291919915065
2042,BC,1e-06,30,40,0.1272542136769027
679,BC,1e-06,40,10,0.03772218062182131
1467,BC,1e-06,40,20,0.07624771644259187
165,BC,1e-06,40,30,0.07706069738007282
571,BC,1e-06,40,40,0.08301083395458186
2655,BC,1e-05,10,10,0.09198041817263802
8446,BC,1e-05,10,20,0.2633414962111834
5030,BC,1e-05,10,30,0.24065802254884505
7756,BC,1e-05,10,40,0.34665660684786714
9691,BC,1e-05,20,10,0.09794175699092167
30593,BC,1e-05,20,20,0.224306271261544
484,BC,1e-05,20,30,0.11224341380297198
12980,BC,1e-05,20,40,0.15484129387758927
2468,BC,1e-05,30,10,0.052789528876834635
2869,BC,1e-05,30,20,0.10211155400450411
6547,BC,1e-05,30,30,0.13119990380117297
7656,BC,1e-05,30,40,0.23438425251729256
4143,BC,1e-05,40,10,0.06868433128901885
15674,BC,1e-05,40,20,0.20174338922067225
7711,BC,1e-05,40,30,0.1576202883083524
2996,BC,1e-05,40,40,0.13047360873649694
394,BC,1e-06,10,10,0.08664566664738349
994,BC,1e-06,10,20,0.17992542618326435
444,BC,1e-06,10,30,0.21683743673841238
836,BC,1e-06,10,40,0.26585919396452096
607,BC,1e-06,20,10,0.06502734138248134
1475,BC,1e-06,20,20,0.11069967264673719
264,BC,1e-06,20,30,0.10552005136176223
1068,BC,1e-06,20,40,0.13856838657865844
590,BC,1e-06,30,10,0.04722345714507836
543,BC,1e-06,30,20,0.0839924319895552
808,BC,1e-06,30,30,0.09961538886507915
216,BC,1e-06,30,40,0.0942183712845357
559,BC,1e-06,40,10,0.03598768602943514
63,BC,1e-06,40,20,0.0702026528279105
658,BC,1e-06,40,30,0.07999675491588276
1876,BC,1e-06,40,40,0.10670506547530478
6471,BC,1e-05,10,10,0.1037219008244884
5054,BC,1e-05,10,20,0.2118852696228175
6630,BC,1e-05,10,30,0.2883337499591563
12140,BC,1e-05,10,40,0.36209101314361003
6175,BC,1e-05,20,10,0.07486306065074311
2605,BC,1e-05,20,20,0.1421987814942336
3988,BC,1e-05,20,30,0.1964903565249153
7510,BC,1e-05,20,40,0.20107818673304212
4959,BC,1e-05,30,10,0.07092325939257449
7697,BC,1e-05,30,20,0.10697308609451839
6322,BC,1e-05,30,30,0.18560121466869683
4963,BC,1e-05,30,40,0.1661174809999999
8581,BC,1e-05,40,10,0.05800210527987204
1642,BC,1e-05,40,20,0.07710133782171358
1282,BC,1e-05,40,30,0.11312974583066915
4631,BC,1e-05,40,40,0.11453083457230251
556,BC,1e-06,10,10,0.08916743713308095
813,BC,1e-06,10,20,0.17734634387591586
1035,BC,1e-06,10,30,0.22327775800684702
538,BC,1e-06,10,40,0.26002372185997347
512,BC,1e-06,20,10,0.06155738333627658
580,BC,1e-06,20,20,0.10613280216244203
681,BC,1e-06,20,30,0.11042916800086444
957,BC,1e-06,20,40,0.13209233095316375
601,BC,1e-06,30,10,0.0499504090516526
207,BC,1e-06,30,20,0.08336778482144669
573,BC,1e-06,30,30,0.0938816551043129
1045,BC,1e-06,30,40,0.12329658494712059
826,BC,1e-06,40,10,0.037296314729632574
442,BC,1e-06,40,20,0.07617009023445165
1379,BC,1e-06,40,30,0.08433009612931341
1550,BC,1e-06,40,40,0.10314950417556823
2447,BC,1e-05,10,10,0.09639919586041779
6803,BC,1e-05,10,20,0.23959265114958495
11993,BC,1e-05,10,30,0.2760376062724622
6882,BC,1e-05,10,40,0.33427899460945887
6880,BC,1e-05,20,10,0.08764387212249847
5823,BC,1e-05,20,20,0.12693028529930273
13131,BC,1e-05,20,30,0.2460247276458627
10168,BC,1e-05,20,40,0.18314186886830774
4244,BC,1e-05,30,10,0.058201438299136155
2353,BC,1e-05,30,20,0.10520832611784048
3324,BC,1e-05,30,30,0.1918290001246279
1424,BC,1e-05,30,40,0.12920467344557285
3440,BC,1e-05,40,10,0.04177242136962378
7203,BC,1e-05,40,20,0.13397356868428967
14074,BC,1e-05,40,30,0.10774597778768091
3006,BC,1e-05,40,40,0.12950644627179175
2030,BC,1e-06,10,10,0.09183831076374849
372,BC,1e-06,10,20,0.1760271835840781
753,BC,1e-06,10,30,0.21262115802094994
748,BC,1e-06,10,40,0.26890297427712184
763,BC,1e-06,20,10,0.0601049404212739
1609,BC,1e-06,20,20,0.11255183696838789
416,BC,1e-06,20,30,0.11104733113159804
272,BC,1e-06,20,40,0.11641103710766554
889,BC,1e-06,30,10,0.04738984100383592
